,Genero,Nombre_del_contenido,Etiquetas,Especificaciones,Id,user_id,item_nombre
90000,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,evcentric,Fallout: New Vegas
90001,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,Riot-Punch,Fallout: New Vegas
90002,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,doctr,Fallout: New Vegas
90003,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,MinxIsBetterThanPotatoes,Fallout: New Vegas
90004,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,themanwich,Fallout: New Vegas
90005,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,maplemage,Fallout: New Vegas
90006,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,76561198089393905,Fallout: New Vegas
90007,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,thequeenpanda,Fallout: New Vegas
90008,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,76561198043472122,Fallout: New Vegas
90009,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,MarbleShrine,Fallout: New Vegas
90010,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,Moomfina,Fallout: New Vegas
90011,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,PPanther,Fallout: New Vegas
90012,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,ABSOLUTLY_NOTHING,Fallout: New Vegas
90013,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,76561198058373434,Fallout: New Vegas
90014,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,SavageEeEe,Fallout: New Vegas
90015,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,76561198054540475,Fallout: New Vegas
90016,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,VVillis,Fallout: New Vegas
90017,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,iampiepiepie,Fallout: New Vegas
90018,Action,Fallout: New Vegas,Survival,Steam Leaderboards,22380,76561198086878953,Fallout: New Vegas
90019,Action,Fallout: New Vegas,Character Customization,Single-player,22380,76561197970982479,Fallout: New Vegas
90020,Action,Fallout: New Vegas,Character Customization,Single-player,22380,js41637,Fallout: New Vegas
90021,Action,Fallout: New Vegas,Character Customization,Single-player,22380,evcentric,Fallout: New Vegas
90022,Action,Fallout: New Vegas,Character Customization,Single-player,22380,Riot-Punch,Fallout: New Vegas
90023,Action,Fallout: New Vegas,Character Customization,Single-player,22380,doctr,Fallout: New Vegas
90024,Action,Fallout: New Vegas,Character Customization,Single-player,22380,MinxIsBetterThanPotatoes,Fallout: New Vegas
90025,Action,Fallout: New Vegas,Character Customization,Single-player,22380,themanwich,Fallout: New Vegas
90026,Action,Fallout: New Vegas,Character Customization,Single-player,22380,maplemage,Fallout: New Vegas
90027,Action,Fallout: New Vegas,Character Customization,Single-player,22380,76561198089393905,Fallout: New Vegas
90028,Action,Fallout: New Vegas,Character Customization,Single-player,22380,thequeenpanda,Fallout: New Vegas
90029,Action,Fallout: New Vegas,Character Customization,Single-player,22380,76561198043472122,Fallout: New Vegas
90030,Action,Fallout: New Vegas,Character Customization,Single-player,22380,MarbleShrine,Fallout: New Vegas
90031,Action,Fallout: New Vegas,Character Customization,Single-player,22380,Moomfina,Fallout: New Vegas
90032,Action,Fallout: New Vegas,Character Customization,Single-player,22380,PPanther,Fallout: New Vegas
90033,Action,Fallout: New Vegas,Character Customization,Single-player,22380,ABSOLUTLY_NOTHING,Fallout: New Vegas
90034,Action,Fallout: New Vegas,Character Customization,Single-player,22380,76561198058373434,Fallout: New Vegas
90035,Action,Fallout: New Vegas,Character Customization,Single-player,22380,SavageEeEe,Fallout: New Vegas
90036,Action,Fallout: New Vegas,Character Customization,Single-player,22380,76561198054540475,Fallout: New Vegas
90037,Action,Fallout: New Vegas,Character Customization,Single-player,22380,VVillis,Fallout: New Vegas
90038,Action,Fallout: New Vegas,Character Customization,Single-player,22380,iampiepiepie,Fallout: New Vegas
90039,Action,Fallout: New Vegas,Character Customization,Single-player,22380,76561198086878953,Fallout: New Vegas
90040,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,76561197970982479,Fallout: New Vegas
90041,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,js41637,Fallout: New Vegas
90042,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,evcentric,Fallout: New Vegas
90043,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,Riot-Punch,Fallout: New Vegas
90044,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,doctr,Fallout: New Vegas
90045,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,MinxIsBetterThanPotatoes,Fallout: New Vegas
90046,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,themanwich,Fallout: New Vegas
90047,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,maplemage,Fallout: New Vegas
90048,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,76561198089393905,Fallout: New Vegas
90049,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,thequeenpanda,Fallout: New Vegas
90050,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,76561198043472122,Fallout: New Vegas
90051,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,MarbleShrine,Fallout: New Vegas
90052,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,Moomfina,Fallout: New Vegas
90053,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,PPanther,Fallout: New Vegas
90054,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,ABSOLUTLY_NOTHING,Fallout: New Vegas
90055,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,76561198058373434,Fallout: New Vegas
90056,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,SavageEeEe,Fallout: New Vegas
90057,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,76561198054540475,Fallout: New Vegas
90058,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,VVillis,Fallout: New Vegas
90059,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,iampiepiepie,Fallout: New Vegas
90060,Action,Fallout: New Vegas,Character Customization,Steam Achievements,22380,76561198086878953,Fallout: New Vegas
90061,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,76561197970982479,Fallout: New Vegas
90062,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,js41637,Fallout: New Vegas
90063,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,evcentric,Fallout: New Vegas
90064,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,Riot-Punch,Fallout: New Vegas
90065,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,doctr,Fallout: New Vegas
90066,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,MinxIsBetterThanPotatoes,Fallout: New Vegas
90067,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,themanwich,Fallout: New Vegas
90068,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,maplemage,Fallout: New Vegas
90069,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,76561198089393905,Fallout: New Vegas
90070,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,thequeenpanda,Fallout: New Vegas
90071,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,76561198043472122,Fallout: New Vegas
90072,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,MarbleShrine,Fallout: New Vegas
90073,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,Moomfina,Fallout: New Vegas
90074,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,PPanther,Fallout: New Vegas
90075,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,ABSOLUTLY_NOTHING,Fallout: New Vegas
90076,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,76561198058373434,Fallout: New Vegas
90077,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,SavageEeEe,Fallout: New Vegas
90078,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,76561198054540475,Fallout: New Vegas
90079,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,VVillis,Fallout: New Vegas
90080,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,iampiepiepie,Fallout: New Vegas
90081,Action,Fallout: New Vegas,Character Customization,Partial Controller Support,22380,76561198086878953,Fallout: New Vegas
90082,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,76561197970982479,Fallout: New Vegas
90083,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,js41637,Fallout: New Vegas
90084,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,evcentric,Fallout: New Vegas
90085,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,Riot-Punch,Fallout: New Vegas
90086,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,doctr,Fallout: New Vegas
90087,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,MinxIsBetterThanPotatoes,Fallout: New Vegas
90088,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,themanwich,Fallout: New Vegas
90089,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,maplemage,Fallout: New Vegas
90090,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,76561198089393905,Fallout: New Vegas
90091,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,thequeenpanda,Fallout: New Vegas
90092,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,76561198043472122,Fallout: New Vegas
90093,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,MarbleShrine,Fallout: New Vegas
90094,Action,Fallout: New Vegas,Character Customization,Steam Leaderboards,22380,Moomfina,Fallout: New Vegas
